Tag,Chromophore,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),abs FWHM (cm-1),emi FWHM (cm-1),abs FWHM (nm),emi FWHM (nm),Molecular weight (g mol-1),Reference
876,CCOc1ccc2c(-c3nc(-c4ccccc4Cl)no3)cc(=O)oc2c1,CCO,393.0,432.0,6.5,0.52,,,,,81.2,368.77522,http://dx.doi.org/10.1016/j.dyepig.2017.01.050
877,CCOc1ccc2c(-c3nc(-c4cccc(C)c4)no3)cc(=O)oc2c1,CCO,345.0,465.0,,0.68,,,,,79.3,348.35704,http://dx.doi.org/10.1016/j.dyepig.2017.01.050
878,[O-][n+]1c(/C=C/c2ccccc2)nc(N2CCOCC2)c2c1CCCC2,ClCCl,400.0,535.0,9.2,0.21,3.643452676,,,,78.5,337.42162,https://doi.org/10.1016/j.dyepig.2018.12.067
879,Cc1cccc(C)c1/C=C/c1nc(N2CCOCC2)c2c([n+]1[O-])CCCC2,ClCCl,384.0,536.0,9.1,0.29,3.716003344,,,,81.5,365.47538,https://doi.org/10.1016/j.dyepig.2018.12.067
880,CN(C)c1ccc(/C=C/c2nc(N3CCOCC3)c3c([n+]2[O-])CCCC3)cc1,ClCCl,420.0,523.0,,0.01,4.51851394,,,,68.6,380.49032,https://doi.org/10.1016/j.dyepig.2018.12.067
881,COc1ccc(/C=C/c2nc(N3CCOCC3)c3c([n+]2[O-])CCCC3)cc1,ClCCl,391.0,533.0,8.3,0.12,3.799340549,,,,77.8,367.4475,https://doi.org/10.1016/j.dyepig.2018.12.067
882,CCOc1ccc(/C=C/c2nc(N3CCOCC3)c3c([n+]2[O-])CCCC3)cc1,ClCCl,384.0,515.0,8.2,0.21,3.875061263,,,,78.9,381.47438,https://doi.org/10.1016/j.dyepig.2018.12.067
883,COc1cc(/C=C/c2nc(N3CCOCC3)c3c([n+]2[O-])CCCC3)cc(OC)c1OC,ClCCl,390.0,521.0,8.5,0.23,3.806179974,,,,81.0,427.49926,https://doi.org/10.1016/j.dyepig.2018.12.067
884,O=Cc1ccc(/C=C/c2nc(N3CCOCC3)c3c([n+]2[O-])CCCC3)cc1,ClCCl,418.0,565.0,,0.025,3.544068044,,,,76.3,365.43162,https://doi.org/10.1016/j.dyepig.2018.12.067
885,[O-][n+]1c(/C=C/c2ccc(/C=C/c3ccccc3)cc2)nc(N2CCOCC2)c2c1CCCC2,ClCCl,406.0,531.0,,0.04,4.0,,,,71.4,439.55726,https://doi.org/10.1016/j.dyepig.2018.12.067
886,CCCCNc1nc(/C=C/c2ccccc2)[n+]([O-])c2c1CCCC2,ClCCl,415.0,520.0,8.9,0.2,3.414973348,,,,78.0,323.4385,https://doi.org/10.1016/j.dyepig.2018.12.067
887,[O-][n+]1c(/C=C/c2ccccc2)nc(Nc2ccccc2)c2c1CCCC2,ClCCl,416.0,508.0,9.784,0.16,3.079181246,,,,77.8,343.42874,https://doi.org/10.1016/j.dyepig.2018.12.067
888,COc1ccc(Nc2nc(/C=C/c3ccccc3)[n+]([O-])c3c2CCCC3)cc1,ClCCl,420.0,520.0,8.2,0.13,3.633468456,,,,76.1,373.45462,https://doi.org/10.1016/j.dyepig.2018.12.067
889,[O-][n+]1c(/C=C/C=C/c2ccccc2)nc(N2CCOCC2)c2c1CCCC2,ClCCl,400.0,546.0,,0.06,3.431363764,,,,81.7,363.4595,https://doi.org/10.1016/j.dyepig.2018.12.067
890,[O-][n+]1c(/C=C/c2ccc3ccccc3c2)nc(N2CCOCC2)c2c1CCCC2,ClCCl,400.0,546.0,,0.05,4.0,,,,74.0,387.4815,https://doi.org/10.1016/j.dyepig.2018.12.067
891,[O-][n+]1c(/C=C/c2cc3cccc4c5cccc6cccc(c(c2)c34)c65)nc(N2CCOCC2)c2c1CCCC2,ClCCl,470.0,575.0,3.882,0.04,4.462397998,,,,77.8,511.62326,https://doi.org/10.1016/j.dyepig.2018.12.067
892,[O-][n+]1c(/C=C/c2cccs2)nc(N2CCOCC2)c2c1CCCC2,ClCCl,400.0,534.0,,0.006,3.602059991,,,,78.5,343.44974,https://doi.org/10.1016/j.dyepig.2018.12.067
893,[O-][n+]1c(-c2ccccc2)cc(N2CCOCC2)nc1/C=C/c1ccccc1,ClCCl,445.0,548.0,4.756,0.2,3.62324929,,,,66.5,359.42774,https://doi.org/10.1016/j.dyepig.2018.12.067
894,[O-][n+]1c(-c2ccc(Br)cc2)cc(N2CCOCC2)nc1/C=C/c1ccccc1,ClCCl,445.0,548.0,3.7,0.15,3.568201724,,,,66.5,438.3238,https://doi.org/10.1016/j.dyepig.2018.12.067
895,C(=C/c1nc2c(c(N3CCOCC3)n1)CCCC2)\c1ccccc1,ClCCl,284.0,333.0,,0.023,3.278753601,,,,,321.42262,https://doi.org/10.1016/j.dyepig.2018.12.067
896,CCN(CC)c1ccc2cc(C#N)c(=N)oc2c1,ClCCl,428.0,460.0,2.9,0.84,4.612783857,,,,,241.2931,doi:10.1016/j.dyepig.2006.01.001
897,COc1ccc2cc(C#N)c(=N)oc2c1,ClCCl,358.0,387.0,2.5,0.21,4.190331698,,,,,200.19652,doi:10.1016/j.dyepig.2006.01.001
898,COc1cccc2cc(C#N)c(=N)oc12,ClCCl,364.0,462.0,0.4,0.013,3.579783597,,,,,200.19652,doi:10.1016/j.dyepig.2006.01.001
899,COc1ccc2oc(=N)c(C#N)cc2c1,ClCCl,388.0,468.0,1.6,0.062,3.681241237,,,,,200.19652,doi:10.1016/j.dyepig.2006.01.001
900,COc1cc(OC)c2cc(C#N)c(=N)oc2c1,ClCCl,372.0,428.0,2.4,0.047,4.315970345,,,,,230.2224,doi:10.1016/j.dyepig.2006.01.001
901,CCOC(=O)/N=c1/oc2cc(N(CC)CC)ccc2cc1C#N,ClCCl,440.0,486.0,3.6,0.85,4.595496222,,,,,313.35586,doi:10.1016/j.dyepig.2006.01.001
902,CCOC(=O)/N=c1/oc2cc(OC)ccc2cc1C#N,ClCCl,370.0,434.0,0.8,0.0065,4.303196057,,,,,272.25928,doi:10.1016/j.dyepig.2006.01.001
903,CCOC(=O)/N=c1/oc2c(OC)cccc2cc1C#N,ClCCl,374.0,465.0,0.3,0.0034,3.380211242,,,,,272.25928,doi:10.1016/j.dyepig.2006.01.001
904,CCOC(=O)/N=c1/oc2ccc(OC)cc2cc1C#N,ClCCl,388.0,470.0,0.3,0.047,3.785329835,,,,,272.25928,doi:10.1016/j.dyepig.2006.01.001
905,CCOC(=O)/N=c1/oc2cc(OC)cc(OC)c2cc1C#N,ClCCl,376.0,442.0,2.6,0.059,4.382017043,,,,,302.28516,doi:10.1016/j.dyepig.2006.01.001
906,CCN(CC)c1ccc2cc(C#N)c(=O)oc2c1,ClCCl,428.0,460.0,2.7,0.82,4.668385917,,,,,242.27716,doi:10.1016/j.dyepig.2006.01.001
907,CCN(CC)c1ccc2ccc(=O)oc2c1,ClCCl,376.0,466.0,3.3,0.9,4.471291711,,,,,217.2671,doi:10.1016/j.dyepig.2006.01.001
910,c1cc2ccc3cccc4ccc(c1)c2c34,C1CCCCC1,334.0,373.0,344.3,0.53,4.67,,,,24.5,202.2554,https://doi.org/10.1016/j.dyepig.2018.02.014
911,c1cc2ccc3cccc4ccc(c1)c2c34,CC#N,335.0,374.0,302.0,0.6,4.66,,,,24.1,202.2554,https://doi.org/10.1016/j.dyepig.2018.02.014
912,c1cc2ccc3cccc4ccc(c1)c2c34,ClC(Cl)Cl,337.0,374.0,0.2,0.14,4.57,,,,25.4,202.2554,https://doi.org/10.1016/j.dyepig.2018.02.014
913,NCc1ccc2ccc3cccc4ccc1c2c34,C1CCCCC1,342.0,375.0,,0.38,3.48,,,,25.7,231.29722,https://doi.org/10.1016/j.dyepig.2018.02.014
914,NCc1ccc2ccc3cccc4ccc1c2c34,CO,340.0,375.0,119.0,0.3,4.55,,,,23.4,231.29722,https://doi.org/10.1016/j.dyepig.2018.02.014
915,NCc1ccc2ccc3cccc4ccc1c2c34,CC#N,341.0,375.0,232.0,0.52,4.54,,,,22.9,231.29722,https://doi.org/10.1016/j.dyepig.2018.02.014
916,NCc1ccc2ccc3cccc4ccc1c2c34,ClC(Cl)Cl,344.0,376.0,38.0,0.07,4.18,,,,27.5,231.29722,https://doi.org/10.1016/j.dyepig.2018.02.014
917,CC1(C)CC(NCc2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1,C1CCCCC1,374.0,375.0,61.8,0.55,4.61,,,,25.7,370.5382,https://doi.org/10.1016/j.dyepig.2018.02.014
918,CC1(C)CC(NCc2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1,CO,374.0,375.0,41.9,0.14,4.41,,,,26.2,370.5382,https://doi.org/10.1016/j.dyepig.2018.02.014
919,CC1(C)CC(NCc2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1,CC#N,374.0,375.0,26.2,0.04,4.61,,,,25.9,370.5382,https://doi.org/10.1016/j.dyepig.2018.02.014
920,CC1(C)CC(NCc2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1,ClC(Cl)Cl,389.0,396.0,36.1,0.08,4.55,,,,27.5,370.5382,https://doi.org/10.1016/j.dyepig.2018.02.014
921,CC1(C)CC(NCc2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1[O],C1CCCCC1,342.0,375.0,65.7,0.07,4.6,,,,,385.52926,https://doi.org/10.1016/j.dyepig.2018.02.014
922,CC1(C)CC(NCc2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1[O],CO,340.0,375.0,54.5,0.04,4.32,,,,,385.52926,https://doi.org/10.1016/j.dyepig.2018.02.014
923,CC1(C)CC(NCc2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1[O],CC#N,341.0,376.0,40.0,0.03,4.56,,,,,385.52926,https://doi.org/10.1016/j.dyepig.2018.02.014
924,CC1(C)CC(NCc2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1[O],ClC(Cl)Cl,344.0,376.0,42.7,0.02,4.53,,,,,385.52926,https://doi.org/10.1016/j.dyepig.2018.02.014
925,CC1(C)CC(/N=C/c2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1,C1CCCCC1,360.0,380.0,7.3,0.2,4.42,,,,9.8,368.52232,https://doi.org/10.1016/j.dyepig.2018.02.014
926,CC1(C)CC(/N=C/c2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1,CO,359.0,405.0,2.6,0.18,4.43,,,,53.2,368.52232,https://doi.org/10.1016/j.dyepig.2018.02.014
927,CC1(C)CC(/N=C/c2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1,CC#N,358.0,390.0,2.9,0.015,4.56,,,,34.0,368.52232,https://doi.org/10.1016/j.dyepig.2018.02.014
928,CC1(C)CC(/N=C/c2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1,ClC(Cl)Cl,361.0,393.0,0.3,0.03,4.46,,,,37.8,368.52232,https://doi.org/10.1016/j.dyepig.2018.02.014
929,CC1(C)CC(/N=C/c2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1[O],C1CCCCC1,360.0,385.0,8.3,0.11,4.42,,,,,383.51338,https://doi.org/10.1016/j.dyepig.2018.02.014
930,CC1(C)CC(/N=C/c2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1[O],CO,359.0,400.0,2.1,0.03,4.43,,,,,383.51338,https://doi.org/10.1016/j.dyepig.2018.02.014
931,CC1(C)CC(/N=C/c2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1[O],CC#N,359.0,375.0,,0.01,4.33,,,,,383.51338,https://doi.org/10.1016/j.dyepig.2018.02.014
932,CC1(C)CC(/N=C/c2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1[O],ClC(Cl)Cl,362.0,375.0,,0.02,4.28,,,,,383.51338,https://doi.org/10.1016/j.dyepig.2018.02.014
933,C(=C/c1nc2ccccc2[nH]1)\c1ccc(/C=C/c2nc3ccccc3[nH]2)cc1,C1CCOC1,389.0,428.0,1.021,0.855,4.723455672,,,,,362.43492,http://dx.doi.org/10.1016/j.dyepig.2014.06.007
934,C(=C/c1nc2ccccc2[nH]1)\c1ccc(/C=C/c2nc3ccccc3[nH]2)cc1,CC(C)=O,395.0,427.0,1.069,0.609,,,,,,362.43492,http://dx.doi.org/10.1016/j.dyepig.2014.06.007
935,C(=C/c1nc2ccccc2[nH]1)\c1ccc(/C=C/c2nc3ccccc3[nH]2)cc1,CN(C)C=O,390.0,433.0,0.997,0.775,4.712649702,,,64.8,83.6,362.43492,http://dx.doi.org/10.1016/j.dyepig.2014.06.007
936,C(=C/c1nc2ccccc2[nH]1)\c1ccc(/C=C/c2nc3ccccc3[nH]2)cc1,CS(C)=O,392.0,439.0,0.919,0.63,4.673941999,,,,,362.43492,http://dx.doi.org/10.1016/j.dyepig.2014.06.007
937,C(=C/c1nc2ccccc2[nH]1)\c1ccc(/C=C/c2nc3ccccc3[nH]2)cc1,CO,384.0,422.0,1.06,0.738,4.640481437,,,,,362.43492,http://dx.doi.org/10.1016/j.dyepig.2014.06.007
938,C(=C/c1nc2ccccc2[nH]1)\c1ccc(/C=C/c2nc3ccccc3[nH]2)cc1,CC#N,382.0,427.0,1.119,0.679,4.722633923,,,,,362.43492,http://dx.doi.org/10.1016/j.dyepig.2014.06.007
939,Cn1c(/C=C/c2ccc(/C=C/c3nc4ccccc4[nH]3)cc2)[n+](C)c2ccccc21,C1CCOC1,363.0,576.0,1.427,0.157,,5694.0,3082.0,,,391.49662,http://dx.doi.org/10.1016/j.dyepig.2014.06.007
940,Cn1c(/C=C/c2ccc(/C=C/c3nc4ccccc4[nH]3)cc2)[n+](C)c2ccccc21,CC(C)=O,386.0,580.0,1.146,0.103,4.739493231,4279.0,3499.0,,,391.49662,http://dx.doi.org/10.1016/j.dyepig.2014.06.007
941,Cn1c(/C=C/c2ccc(/C=C/c3nc4ccccc4[nH]3)cc2)[n+](C)c2ccccc21,CN(C)C=O,389.0,582.0,1.107,0.12,4.711807229,4281.0,3527.0,,,391.49662,http://dx.doi.org/10.1016/j.dyepig.2014.06.007
942,Cn1c(/C=C/c2ccc(/C=C/c3nc4ccccc4[nH]3)cc2)[n+](C)c2ccccc21,CS(C)=O,392.0,584.0,1.221,0.114,4.758154622,4181.0,3537.0,,,391.49662,http://dx.doi.org/10.1016/j.dyepig.2014.06.007
943,Cn1c(/C=C/c2ccc(/C=C/c3nc4ccccc4[nH]3)cc2)[n+](C)c2ccccc21,CO,391.0,567.0,0.773,0.067,4.72427587,4102.0,3677.0,,,391.49662,http://dx.doi.org/10.1016/j.dyepig.2014.06.007
944,Cn1c(/C=C/c2ccc(/C=C/c3nc4ccccc4[nH]3)cc2)[n+](C)c2ccccc21,CC#N,377.0,576.0,1.163,0.109,4.719331287,4243.0,3554.0,,,391.49662,http://dx.doi.org/10.1016/j.dyepig.2014.06.007
945,Cn1c(/C=C/c2ccc(/C=C/c3nc4ccccc4[nH]3)cc2)[n+](C)c2ccccc21,O,376.0,574.0,0.42,0.044,4.71432976,4136.0,3918.0,,,391.49662,http://dx.doi.org/10.1016/j.dyepig.2014.06.007
946,c1ccc2c(c1)CCc1c-2cnc2c1-c1ccccc1CC2,CCCCCC,323.0,358.0,3.14,0.149,,,,,,283.37298,http://dx.doi.org/10.1016/j.dyepig.2016.07.036
947,c1ccc2c(c1)CCc1c-2cnc2c1-c1ccccc1CC2,Cc1ccccc1,323.0,362.0,3.24,0.513,,,,,,283.37298,http://dx.doi.org/10.1016/j.dyepig.2016.07.037
948,c1ccc2c(c1)CCc1c-2cnc2c1-c1ccccc1CC2,ClCCl,322.0,363.0,3.67,0.291,,,,,,283.37298,http://dx.doi.org/10.1016/j.dyepig.2016.07.038
949,c1ccc2c(c1)CCc1c-2cnc2c1-c1ccccc1CC2,C1CCOC1,323.0,356.0,3.33,0.665,,,,,,283.37298,http://dx.doi.org/10.1016/j.dyepig.2016.07.039
950,c1ccc2c(c1)CCc1c-2cnc2c1-c1ccccc1CC2,CCOC(C)=O,315.0,358.0,3.46,0.567,,,,,,283.37298,http://dx.doi.org/10.1016/j.dyepig.2016.07.040
951,c1ccc2c(c1)CCc1c-2cnc2c1-c1ccccc1CC2,CO,324.0,361.0,3.96,0.141,,,,,,283.37298,http://dx.doi.org/10.1016/j.dyepig.2016.07.041
952,c1ccc2c(c1)CCc1c-2cnc2c1-c1ccccc1CC2,CC#N,322.0,358.0,3.66,0.69,,,,,,283.37298,http://dx.doi.org/10.1016/j.dyepig.2016.07.042
953,c1ccc2c(c1)CCc1c-2cnc2c1-c1ccccc1CC2,CS(C)=O,325.0,360.0,3.88,0.227,,,,,,283.37298,http://dx.doi.org/10.1016/j.dyepig.2016.07.043
954,c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CCCCCC,309.0,363.0,0.26,0.001,,,,,,359.47074,http://dx.doi.org/10.1016/j.dyepig.2016.07.044
955,c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,Cc1ccccc1,312.0,361.0,,0.002,,,,,,359.47074,http://dx.doi.org/10.1016/j.dyepig.2016.07.045
956,c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,ClCCl,318.0,361.0,,0.01,,,,,,359.47074,http://dx.doi.org/10.1016/j.dyepig.2016.07.046
957,c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,C1CCOC1,314.0,362.0,,0.009,,,,,,359.47074,http://dx.doi.org/10.1016/j.dyepig.2016.07.047
958,c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CCOC(C)=O,314.0,359.0,,0.03,,,,,,359.47074,http://dx.doi.org/10.1016/j.dyepig.2016.07.048
959,c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CO,318.0,362.0,0.29,0.002,,,,,,359.47074,http://dx.doi.org/10.1016/j.dyepig.2016.07.049
960,c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CC#N,308.0,360.0,1.39,0.001,,,,,,359.47074,http://dx.doi.org/10.1016/j.dyepig.2016.07.050
961,c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CS(C)=O,316.0,360.0,0.51,0.003,,,,,,359.47074,http://dx.doi.org/10.1016/j.dyepig.2016.07.051
962,COc1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CCCCCC,322.0,408.0,0.45,0.015,,,,,,389.49662,http://dx.doi.org/10.1016/j.dyepig.2016.07.052
963,COc1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,Cc1ccccc1,320.0,419.0,,0.011,,,,,,389.49662,http://dx.doi.org/10.1016/j.dyepig.2016.07.053
964,COc1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,ClCCl,322.0,424.0,0.25,0.051,,,,,,389.49662,http://dx.doi.org/10.1016/j.dyepig.2016.07.054
965,COc1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,C1CCOC1,322.0,420.0,,0.027,,,,,,389.49662,http://dx.doi.org/10.1016/j.dyepig.2016.07.055
966,COc1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CCOC(C)=O,310.0,425.0,,0.362,,,,,,389.49662,http://dx.doi.org/10.1016/j.dyepig.2016.07.056
967,COc1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CO,318.0,428.0,0.36,0.017,,,,,,389.49662,http://dx.doi.org/10.1016/j.dyepig.2016.07.057
968,COc1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CC#N,321.0,416.0,1.44,0.007,,,,,,389.49662,http://dx.doi.org/10.1016/j.dyepig.2016.07.058
969,COc1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CS(C)=O,320.0,415.0,0.67,0.012,,,,,,389.49662,http://dx.doi.org/10.1016/j.dyepig.2016.07.059
970,CN(C)c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CCCCCC,346.0,422.0,,0.05,,,,,67.7,402.53944,http://dx.doi.org/10.1016/j.dyepig.2016.07.060
971,CN(C)c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,Cc1ccccc1,351.0,436.0,0.27,0.112,,,,,64.5,402.53944,http://dx.doi.org/10.1016/j.dyepig.2016.07.061
972,CN(C)c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,ClCCl,347.0,449.0,0.8,0.269,,,,,65.0,402.53944,http://dx.doi.org/10.1016/j.dyepig.2016.07.062
973,CN(C)c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,C1CCOC1,348.0,452.0,0.91,0.396,,,,,64.5,402.53944,http://dx.doi.org/10.1016/j.dyepig.2016.07.063
974,CN(C)c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CCOC(C)=O,338.0,449.0,0.75,0.164,,,,,65.6,402.53944,http://dx.doi.org/10.1016/j.dyepig.2016.07.064
975,CN(C)c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CO,342.0,460.0,,0.08,,,,,68.8,402.53944,http://dx.doi.org/10.1016/j.dyepig.2016.07.065
976,CN(C)c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CC#N,343.0,463.0,1.19,0.182,,,,,64.5,402.53944,http://dx.doi.org/10.1016/j.dyepig.2016.07.066
977,CN(C)c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CS(C)=O,350.0,470.0,2.13,0.215,,,,,66.9,402.53944,http://dx.doi.org/10.1016/j.dyepig.2016.07.067
978,CCN(CC)c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CCCCCC,355.0,425.0,,0.112,,,,,66.9,430.5932,http://dx.doi.org/10.1016/j.dyepig.2016.07.068
979,CCN(CC)c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,Cc1ccccc1,359.0,437.0,0.8,0.123,,,,,65.6,430.5932,http://dx.doi.org/10.1016/j.dyepig.2016.07.069
980,CCN(CC)c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,ClCCl,357.0,449.0,1.22,0.446,,,,,64.5,430.5932,http://dx.doi.org/10.1016/j.dyepig.2016.07.070
981,CCN(CC)c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,C1CCOC1,357.0,452.0,1.06,0.437,,,,,64.5,430.5932,http://dx.doi.org/10.1016/j.dyepig.2016.07.071
982,CCN(CC)c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CCOC(C)=O,346.0,449.0,0.85,0.321,,,,,64.5,430.5932,http://dx.doi.org/10.1016/j.dyepig.2016.07.072
983,CCN(CC)c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CO,352.0,461.0,0.68,0.106,,,,,68.3,430.5932,http://dx.doi.org/10.1016/j.dyepig.2016.07.073
984,CCN(CC)c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CC#N,360.0,463.0,0.68,0.351,,,,,63.7,430.5932,http://dx.doi.org/10.1016/j.dyepig.2016.07.074
985,CCN(CC)c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CS(C)=O,361.0,470.0,1.02,0.494,,,,,65.6,430.5932,http://dx.doi.org/10.1016/j.dyepig.2016.07.075
988,O=[N+]([O-])c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,ClCCl,353.0,540.0,1.13,0.059,,,,,,404.4678,http://dx.doi.org/10.1016/j.dyepig.2016.07.078
992,O=[N+]([O-])c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CC#N,345.0,560.0,2.05,0.037,,,,,,404.4678,http://dx.doi.org/10.1016/j.dyepig.2016.07.082
993,O=[N+]([O-])c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CS(C)=O,352.0,563.0,1.09,0.085,,,,,,404.4678,http://dx.doi.org/10.1016/j.dyepig.2016.07.083
994,COc1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,CCCCCC,336.0,420.0,,0.048,,,,,,439.51674,http://dx.doi.org/10.1016/j.dyepig.2016.07.084
995,COc1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,Cc1ccccc1,334.0,422.0,,0.007,,,,,,439.51674,http://dx.doi.org/10.1016/j.dyepig.2016.07.085
996,COc1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,ClCCl,333.0,425.0,,0.066,,,,,,439.51674,http://dx.doi.org/10.1016/j.dyepig.2016.07.086
997,COc1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,C1CCOC1,332.0,426.0,,0.05,,,,,,439.51674,http://dx.doi.org/10.1016/j.dyepig.2016.07.087
998,COc1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,CCOC(C)=O,324.0,423.0,,0.188,,,,,,439.51674,http://dx.doi.org/10.1016/j.dyepig.2016.07.088
999,COc1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,CO,326.0,426.0,,0.048,,,,,,439.51674,http://dx.doi.org/10.1016/j.dyepig.2016.07.089
1000,COc1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,CC#N,329.0,430.0,,0.036,,,,,,439.51674,http://dx.doi.org/10.1016/j.dyepig.2016.07.090
1001,COc1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,CS(C)=O,331.0,435.0,0.27,0.039,,,,,,439.51674,http://dx.doi.org/10.1016/j.dyepig.2016.07.091
1002,CN(C)c1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,CCCCCC,348.0,444.0,0.6,0.193,,,,,67.7,452.55956,http://dx.doi.org/10.1016/j.dyepig.2016.07.092
1003,CN(C)c1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,Cc1ccccc1,344.0,469.0,1.4,0.125,,,,,67.7,452.55956,http://dx.doi.org/10.1016/j.dyepig.2016.07.093
1004,CN(C)c1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,ClCCl,342.0,482.0,1.68,0.573,,,,,75.5,452.55956,http://dx.doi.org/10.1016/j.dyepig.2016.07.094
1005,CN(C)c1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,C1CCOC1,344.0,500.0,2.93,0.379,,,,,78.7,452.55956,http://dx.doi.org/10.1016/j.dyepig.2016.07.095
